Product,Website,Taxonomy,Level 2 (from Taxonomy),Level 3 (from Taxonomy),Tags,Compatible With,Description
audiokinetic - wwise,https://www.audiokinetic.com/en/wwise/overview,Software,Audio,DAW,Audio,,"Powering interactive experiences and real-time performing technologies, Wwise features a complete suite of design and development tools, making it easy to prototype and bring to life your creative vision for audio, no matter the scale of your project."
fmod,https://www.fmod.com/,Software,Audio,DAW,"Audio,SFX,Music","Unity,Unreal,CryEngine",FMOD is a sound effects engine and authoring tool for video games and applications.
FL Studio,https://www.image-line.com/fl-studio/,Software,Audio,DAW,"Audio,SFX,Music",,"FL Studio is the desktop DAW that music-makers across the world use to turn ideas into reality. Whether you’re just starting or are an experienced producer, FL Studio includes everything you need to create music."
Audacity,https://www.audacityteam.org/,Software,Audio,DAW,"Audio,Editor,Recording",,Audacity is the world's most popular audio editing and recording app
Reaper,https://www.reaper.fm/,Software,Audio,DAW,"Audio,Music,Recording",,"REAPER's full, flexible feature set and renowned stability have found a home wherever digital audio is used: commercial and home studios, broadcast, location recording, education, science and research, sound design, game development, and more."
LMMS,https://lmms.io/,Software,Audio,DAW,"Music,Audio,SFX,Free","Mac,Windows,Linux","Making beats has never been easier with a free, cross-platform tool for your computer."
Cubase (steinberg),https://www.steinberg.net/cubase/,Software,Audio,DAW,"Music,Production,SFX",,"From Hollywood blockbuster composers and Billboard Hot 100 producers right through to keen beginners, the world of music production trusts in Cubase."
OpenAL,https://www.openal.org/,Software,Audio,Rendering,"3D,Audio,Rendering,Cross-Platform,API",,"OpenAL is a cross-platform 3D audio API appropriate for use with gaming applications and many other types of audio applications.

The library models a collection of audio sources moving in a 3D space that are heard by a single listener somewhere in that space. The basic OpenAL objects are a Listener, a Source, and a Buffer. There can be a large number of Buffers, which contain audio data. Each buffer can be attached to one or more Sources, which represent points in 3D space which are emitting audio. There is always one Listener object (per audio context), which represents the position where the sources are heard -- rendering is done from the perspective of the Listener."
Infinite Album,https://www.infinitealbum.io/,Software,Audio,SFX/Music,"Gen AI,SFX,Music",,"Infinitely generative AI music for gamers
fully licensed and copyright safe."
Krotos,https://www.krotosaudio.com/,Software,Audio,SFX/Music,SFX,,"Krotos sound design software and libraries offer users powerful and efficient creation of sound design for post-production, game audio and music. Create monsters, creatures, animals, robots, weapons, vehicles, footsteps and Foley plus many other unique sound effects – advancing creativity and shortening the critical path from your imagination to the final mix.

We support most major DAWs and editors including Pro Tools, Logic Pro, Reaper, Cubase, Nuendo, and Ableton Live."
Musico,https://www.musi-co.com/,Software,Audio,SFX/Music,"AI,Music",,"Musico is an AI-driven software engine that generates music. It can react to gesture, movement, code or other sound."
Plusmusic,https://www.plusmusic.ai/,Software,Audio,SFX/Music,"AI,Music",,"PlusMusic adapts your music to your games - that’s the core of our technology. For each track in the library, our PlusMusic AI creates distinct sequences.

Those sequences are then mapped to game events we receive from each supported game (kill, damage, heal, etc.) and they make music playback adapt to your game moments.

For games that are not on our list of fully supported, PlusMusic acts as a music player"
Dolby Milicast,https://dolby.io/solutions/virtual-worlds/,Software,Audio,SFX/Music,"Audio,Streaming","Unreal,Unity","Dolby.io makes it easy to get started using our streaming solutions for game engines. We provide easy-to-follow documentation and how-to guides, and our support plans are just a button click away to help you get your project up and running."
beatoven.ai,https://www.beatoven.ai/,Software,Audio,SFX/Music,"AI,Music,Generator,Text-to-Music",,"At Beatoven.ai, we are dedicated to delivering exceptional music and experience to our users and ensuring a positive impact on the music industry. With over a 100,000 ethically-sourced data samples, we are trying to build an inclusive AI company with artist analytics and potential revenue sharing."
OptimizerAI,https://www.optimizerai.xyz/,Software,Audio,SFX/Music,"AI,Generator,SFX",,"Sounds for creators, game developers, artists, video makers.
Experience the best AI Sound FX generator."
Soundful,https://soundful.com/,Software,Audio,SFX/Music,"AI,Music,Generator",,"Leverage the power of AI to generate royalty free background music at the click of a button for your videos, streams, podcasts and much more."
Suno,https://suno.com/,Software,Audio,SFX/Music,"AI,Music,Generator",,"Suno is building a future where anyone can make great music. Whether you're a shower singer or a charting artist, we break barriers between you and the song you dream of making. No instrument needed, just imagination. From your mind to music."
boomy,https://boomy.com/,Software,Audio,SFX/Music,"AI,Music,Generator",,"Create original songs in seconds, even if you've never made music before."
Splash,https://www.splashmusic.com/,Software,Audio,SFX/Music,"Music,Generator,AI",,"Splash has developed cutting-edge generative music. We specialize in music for the digital generation, excelling in genres like hyperpop, EDM, Glitch, Phonk, Trap, Lo-Fi, Hiphop & others. Our proprietary samples have been deployed across our popular Roblox game and mobile Beatmaker app (now retired). Our previous flagship product, Splash Pro, gave users the option to search and combine samples based on text prompts or use a powerful generative model trained on this dataset to create unique new production-quality music. Our generative models are still training and will continue to get better as we expand and diversify our dataset."
